"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.360412774E0,-6.029235125E-1,4.375318885E-1,1.354592592E-1
4.377078712E0,-6.238456368E-1,8.171843290E-1,3.627773225E-1
4.393744649E0,-3.770562708E-1,5.044215918E-1,3.342193961E-1
4.410410587E0,-9.025526792E-2,2.046397030E-1,1.965457499E-1
4.427076524E0,1.650862098E-1,1.840230078E-1,1.616500914E-1
4.443742462E0,3.532325625E-1,3.138317764E-1,1.907425225E-1
4.460408399E0,3.786598146E-1,5.124391913E-1,2.879463732E-1
4.477074337E0,3.360520005E-1,5.195404887E-1,3.236819804E-1
4.493740274E0,2.165515572E-1,1.771507859E-1,1.930332631E-1
4.510406212E0,1.034652218E-1,-2.256381810E-1,-6.872228696E-4
4.527072149E0,-2.115119249E-2,-3.245982826E-1,-1.094975099E-1
4.543738087E0,-1.897498667E-1,-6.414080411E-2,-4.192059487E-2
4.560404024E0,-3.874409795E-1,1.564577371E-1,3.634645417E-2
4.577069962E0,-6.009382010E-1,1.574503928E-1,3.504836559E-2
4.593735899E0,-8.539889455E-1,-7.299833745E-2,4.780016840E-2
4.610401837E0,-1.150945544E0,-3.155116439E-1,7.735075057E-2
4.627067774E0,-1.406134367E0,-4.541015923E-1,1.143844277E-1
4.643733712E0,-1.477452874E0,-9.086613543E-3,1.917351782E-1
4.660399649E0,-9.950223565E-1,2.290742937E-3,3.131445646E-1
4.677065587E0,-3.472766280E-1,-3.959167302E-1,3.763690591E-1
4.693731524E0,-6.795870513E-2,-8.436806202E-1,2.138026655E-1
4.710397462E0,-3.652971387E-1,-1.136819363E0,-1.805869043E-1
4.727063399E0,-9.638682604E-1,-9.767727852E-1,-4.775435328E-1
4.743729337E0,-1.396895051E0,-4.169915617E-1,-4.707476795E-1
4.760395274E0,-1.316719055E0,2.110537887E-1,-1.608101577E-1
4.777061212E0,-8.139773011E-1,4.776962698E-1,1.772271395E-1
4.793727149E0,-1.645517051E-1,9.865466505E-2,3.946950138E-1
4.810393087E0,3.843866587E-1,-4.740310609E-1,5.600866675E-1
4.827059024E0,7.424297929E-1,-6.546943188E-1,7.532726526E-1
4.843724962E0,9.560033679E-1,-4.414261580E-1,8.297070861E-1
4.860390899E0,1.107803226E0,-2.333503515E-1,6.691260338E-1
4.877056837E0,1.385670424E0,-1.165224537E-1,3.762927055E-1
4.893722774E0,1.518151641E0,-1.047633067E-1,1.898262352E-1
4.910388712E0,1.376049280E0,7.284562290E-2,2.204458266E-1
4.927054649E0,1.301523805E0,3.528507650E-1,4.134790897E-1
4.943720587E0,1.674838543E0,6.716458201E-1,5.809323788E-1
4.960386524E0,2.380081892E0,4.712821841E-1,2.955058515E-1
4.977052462E0,2.795164585E0,3.802633286E-1,-1.506545246E-1
4.993718399E0,1.991877317E0,6.140718460E-1,-2.707658112E-1
5.010384337E0,9.156863093E-1,1.421864152E0,-7.826705277E-2
5.027050274E0,8.439860344E-1,2.308228970E0,3.149771392E-1
5.043716212E0,1.018387914E0,2.272340536E0,4.066832364E-1
5.060382149E0,7.181479335E-1,1.487913847E0,1.250745654E-1
5.077048087E0,-1.382845193E-1,3.977493346E-1,-2.441168427E-1
5.093714024E0,-1.244026065E0,-5.396226645E-1,-3.688859642E-1
5.110379962E0,-2.215759277E0,-9.414953589E-1,-5.542070866E-1
5.127045899E0,-3.112432480E0,-1.266780853E0,-9.669989347E-1
5.143711837E0,-3.324707985E0,-1.320765972E0,-1.206534266E0
5.160377774E0,-2.088393927E0,-1.060079455E0,-9.166789651E-1
5.177043712E0,-8.506292105E-2,-1.060537577E0,-3.649916947E-1
